Rank,Employer,Number of LCA,Average Salary
129,University Of Wisconsin-system,287,79876.0
130,State Street Bank And Trust,286,149729.0
131,Asml,284,146331.0
132,Harvard University,284,99702.0
133,Populus Group,283,150646.0
134,Aetna Resources,283,138570.0
135,Juniper Networks,277,157798.0
136,Trustees Of University Of Pennsylvania,274,104347.0
137,Robotic Process Automation,273,81539.0
138,Eficens Systems,271,103025.0
139,Machine Intelligence Technologies,271,79099.0
140,Workday,270,178752.0
141,University Of Chicago,270,106934.0
142,National Institutes Of Health/Hhs,264,110263.0
143,Cignaevernorth Services,263,142298.0
144,University Of Florida,261,116366.0
145,Exlservice.com,260,120542.0
146,Memorial Sloankettering Cancer Center,260,117054.0
147,Sap America,256,152349.0
148,Northwestern University,255,81155.0
149,Databricks,254,184581.0
150,Pinterest,254,153514.0
151,Globallogic,251,112965.0
152,Iqvia,250,150791.0
153,Netflix,249,242386.0
154,Adp Technology Services,249,152301.0
155,University Of Iowa,247,142754.0
156,Equifax,246,135724.0
157,Docusign,243,198843.0
158,Mastercard Technologies,243,159125.0
159,Lowes Companies,242,136282.0
160,Zs Associates,241,162935.0
161,Concentrix Cvg Customer Management Group,239,123662.0
162,The Ohio State University,239,94249.0
163,St. Jude Children’s Research Hospital,237,121600.0
164,Infinite Computer Solutions,235,115339.0
165,Texas Am University,234,89628.0
166,"Ntt Data, Americas",233,125640.0
167,Dallas Independent School District,233,68387.0
168,Nike,229,169842.0
169,Ubs Services,228,147278.0
170,Bristol-myers Squibb,225,152278.0
171,Hcl Global Systems,224,109607.0
172,Nagarro,224,96748.0
173,Home Depot Management,222,138883.0
174,Icahn School of Medicine at Mount Sinai,218,108520.0
175,University Of Minnesota Physicians,218,91448.0
176,Ut-Battelle,217,115512.0
177,Zoox,216,190530.0
178,Erp Analysts,215,108144.0
179,"University Of California, San Diego",215,94172.0
180,The General Hospital,213,84738.0
181,Nokia Of America,211,150149.0
182,Caterpillar,211,117189.0
183,Stripe,208,181007.0
184,American Airlines,208,126168.0
185,Vsoft Consulting Group,207,93391.0
186,Upstate Cerebral Palsy,207,35356.0
187,Goldman Sacks Bank Usa,206,137189.0
188,Genpact,206,122325.0
189,Db Global Technology,205,124386.0
190,Coforge,205,122971.0
191,Block,201,195593.0
192,Wsp,200,103657.0
193,Purdue University,200,88336.0
194,Slalom,199,157501.0
195,Intuitive Surgical,198,166394.0
196,University Of Illinois,198,88736.0
197,Duke University,197,91403.0
198,The Vanguard Group,196,146514.0
199,Fedex Corporate Services,196,115584.0
200,The Curators Of The University Of Missouri,196,111155.0
